total_account_count,total_income,total_product_count,total_profit,CA,AE,SG,AU,JP,SA,MX,active_months,status_code,packages_encoded,registration_source_encoded
0,0,0,0,0,0,0,0,0,0,0,41,1,0,3
1,0,0,0,0,0,0,1,0,0,0,41,1,0,3
2,0,22,0,1,0,0,0,0,0,1,41,1,0,0
1,0,0,0,0,1,0,0,0,0,0,41,1,0,3
6,5356,0,0,1,1,1,1,0,0,1,41,1,0,0
0,0,0,0,0,0,0,0,0,0,0,41,1,0,3
1,0,0,0,0,1,0,0,0,0,0,41,1,0,3
1,0,0,0,0,1,0,0,0,0,0,41,1,0,3
1,0,0,0,0,1,0,0,0,0,0,41,1,0,3
1,0,0,0,0,1,0,0,0,0,0,41,1,0,3
0,0,0,0,0,0,0,0,0,0,0,41,1,0,3
1,0,0,0,0,1,0,0,0,0,0,41,1,0,3
1,0,0,0,0,1,0,0,0,0,0,41,1,0,3
1,447,0,0,0,0,1,0,0,0,0,41,1,0,3
1,0,0,0,0,0,1,0,0,0,0,41,1,0,3
4,5330,0,0,0,1,1,0,0,1,0,41,1,0,3
2,1855,3775,59,1,0,0,0,0,0,1,41,1,0,3
2,334564,0,0,1,0,0,0,0,0,1,41,1,0,3
1,0,0,0,0,0,0,1,0,0,0,41,1,0,3
0,0,0,0,0,0,0,0,0,0,0,41,1,0,3
1,1255,0,0,0,0,1,0,0,0,0,41,1,0,3
1,35381,0,0,1,0,0,0,0,0,0,41,1,0,3
1,0,9536,0,0,0,1,0,0,0,0,41,0,1,3
1,0,507,0,0,1,0,0,0,0,0,41,0,0,3
3,1897,0,0,1,1,0,1,0,0,0,41,1,0,3
0,0,0,0,0,0,0,0,0,0,0,41,1,0,3
1,0,0,0,0,0,1,0,0,0,0,41,1,0,3
1,296,0,0,0,0,1,0,0,0,0,40,1,0,3
1,8442,0,0,0,1,0,0,0,0,0,40,1,0,3
1,0,0,0,0,1,0,0,0,0,0,40,1,0,3
2,396,0,0,0,1,1,0,0,0,0,40,1,0,3
1,4984,0,0,1,0,0,0,0,0,0,40,1,0,3
0,0,0,0,0,0,0,0,0,0,0,40,1,0,3
1,4887,0,0,1,0,0,0,0,0,0,40,1,0,3
3,0,0,0,1,1,0,0,0,0,1,40,1,0,3
1,1714,0,0,0,0,0,0,0,0,1,40,1,0,3
1,0,0,0,0,1,0,0,0,0,0,40,1,0,3
2,0,5,0,0,1,0,0,0,0,0,40,1,0,0
1,0,0,0,0,0,0,1,0,0,0,40,1,0,3
4,137990,0,0,0,1,1,0,1,0,0,40,1,0,3
1,0,0,0,0,1,0,0,0,0,0,40,1,0,3
4,90073,2660,1178,0,1,1,1,0,0,0,40,1,0,3
4,5001,0,0,1,1,1,0,0,0,1,40,1,0,3
2,48,0,0,0,1,1,0,0,0,0,40,1,0,3
2,16809,0,0,1,0,0,0,0,0,1,40,1,0,3
1,0,0,0,0,0,0,1,0,0,0,40,1,0,3
3,0,0,0,0,1,1,0,0,0,0,40,1,0,3
1,0,813,0,0,0,1,0,0,0,0,40,0,0,3
1,0,0,0,0,1,0,0,0,0,0,40,1,0,3
5,6808,0,0,0,0,1,1,1,0,0,40,1,0,3
0,0,0,0,0,0,0,0,0,0,0,40,1,0,3
1,0,0,0,0,1,0,0,0,0,0,40,1,0,3
2,0,0,0,0,1,1,0,0,0,0,40,1,0,3
1,0,419,0,0,0,0,0,0,0,0,40,0,0,3
1,0,0,0,0,1,0,0,0,0,0,40,1,0,3
0,0,0,0,0,0,0,0,0,0,0,40,1,0,3
1,0,0,0,0,1,0,0,0,0,0,40,1,0,3
2,0,0,0,0,1,1,0,0,0,0,40,1,0,3
1,0,0,0,1,0,0,0,0,0,0,40,1,0,3
6,307611,12872,55759,1,1,0,1,1,0,1,40,0,2,3
1,0,0,0,0,0,1,0,0,0,0,40,1,0,3
3,0,0,0,1,0,1,0,0,0,1,40,1,0,3
9,134,0,0,0,1,1,1,0,0,1,40,1,0,3
1,0,0,0,0,0,1,0,0,0,0,40,1,0,3
2,1074,0,0,0,1,1,0,0,0,0,40,1,0,3
1,0,0,0,0,1,0,0,0,0,0,40,1,0,3
2,0,0,0,0,1,1,0,0,0,0,39,1,0,3
2,0,0,0,0,1,1,0,0,0,0,39,1,0,3
0,0,0,0,0,0,0,0,0,0,0,39,1,0,3
1,0,61,0,0,1,0,0,0,0,0,39,0,0,3
0,0,80887,0,0,0,0,0,0,0,0,39,1,4,3
1,0,0,0,0,0,1,0,0,0,0,39,1,0,3
3,1991,0,0,0,1,1,1,0,0,0,39,1,0,3
1,0,0,0,0,0,1,0,0,0,0,39,1,0,3
1,0,0,0,0,0,0,0,0,0,1,39,1,0,3
2,834,0,0,1,0,0,0,0,0,1,39,1,0,3
3,403,0,0,0,1,1,0,0,0,0,39,1,0,3
1,0,0,0,0,1,0,0,0,0,0,39,1,0,3
2,19041,4210,282,0,1,1,0,0,0,0,39,1,0,3
3,2720,0,0,0,1,1,1,0,0,0,39,1,0,3
3,172296,0,0,1,0,1,1,0,0,0,39,1,0,3
2,94,0,0,0,1,1,0,0,0,0,39,1,0,3
0,0,0,0,0,0,0,0,0,0,0,39,1,0,3
11,105131,0,1107,1,1,1,1,1,0,1,39,1,0,3
4,158113,0,263,0,1,1,1,1,0,0,39,1,0,3
0,0,0,0,0,0,0,0,0,0,0,39,1,0,3
2,0,0,0,0,0,0,0,0,0,1,39,1,0,3
5,126957,0,2204,1,1,1,1,0,0,1,39,1,0,0
1,0,0,0,0,0,1,0,0,0,0,39,1,0,3
3,45822,0,0,0,1,0,0,0,1,1,39,0,0,3
2,0,0,0,1,0,0,0,0,0,1,39,1,0,3
3,277,0,0,0,1,1,1,0,0,0,39,1,0,3
2,62199,0,0,0,1,0,1,0,0,0,39,1,0,3
2,0,0,0,0,1,1,0,0,0,0,39,1,0,3
1,163,0,0,0,1,0,0,0,0,0,39,1,0,3
2,0,0,0,0,1,1,0,0,0,0,39,1,0,3
3,0,0,0,0,1,0,1,0,0,0,39,1,0,3
0,0,234887,0,0,0,0,0,0,0,0,39,1,6,3
0,0,0,0,0,0,0,0,0,0,0,39,1,0,3
1,34,0,0,0,0,1,0,0,0,0,39,1,0,3
3,1950,0,0,0,1,1,1,0,0,0,39,1,0,3
0,0,565,0,0,0,0,0,0,0,0,39,0,0,3
1,171,0,0,0,1,0,0,0,0,0,39,1,0,3
